w0,w1
-0.9171910666359362,0.015598543086004547
-0.9176937767729777,0.015397459031187966
-0.9180446704204448,0.015572905854921524
-0.9149203842999521,0.01682262030311859
-0.9140063042301394,0.017919516386893937
-0.9097332705992881,0.017919516386893937
-0.9102099128647042,0.017728859480727503
-0.9070740228250005,0.0214919275283719
-0.9055980870528102,0.033151820128675374
-0.9067761228386118,0.033151820128675374
-0.9034835012015758,0.03907853907534
-0.902766350594006,0.03907853907534
-0.9015584927297242,0.04862061620316586
-0.8984629432859232,0.04459640192622466
-0.8989777999566974,0.044390459257915
-0.8982478800657986,0.044390459257915
-0.8943014322448245,0.04596903838630465
-0.8935592568103309,0.04596903838630465
-0.892814881078851,0.04596903838630465
-0.8859323501988012,0.10034103233869768
-0.8793140991118945,0.10034103233869768
-0.875179499007657,0.1077833125263252
-0.8702608961693427,0.10975075366165096
-0.8695759516892031,0.11002473145370677
-0.8706280196058072,0.11002473145370677
-0.8709079368581816,0.11038862388179355
-0.8709963079725284,0.11038862388179355
-0.8726747700037801,0.10837446944429135
-0.8653602846194316,0.10837446944429135
-0.8573043071658448,0.10837446944429135
-0.848297814478611,0.10837446944429135
-0.8382280328558902,0.10837446944429135
-0.8310588068415122,0.11124215985004254
-0.8310937125229534,0.11124215985004254
-0.8312559203624176,0.11145303004134592
-0.8252693110533088,0.11145303004134592
-0.8259147694328912,0.11145303004134592
-0.8272200732787875,0.10988666542627032
-0.8275755081578275,0.11006438286579033
-0.8276141042936009,0.11006438286579033
-0.8180213647221057,0.11006438286579033
-0.818339576178443,0.10993709828325543
-0.8064886904438808,0.10993709828325543
-0.8076453001858073,0.1085491665929437
-0.7985252736426907,0.1085491665929437
-0.7987505872915677,0.1084590411333929
-0.7938517932914052,0.10600964413331168
-0.7898274039925738,0.1132535448712082
-0.7815483737749709,0.1132535448712082
-0.7803934304869268,0.11175211859675087
-0.7792261352264259,0.11023463475809972
-0.7743655153844449,0.1078043248371092
-0.7747483373548768,0.1078043248371092
-0.7781634073283789,0.08082527204644332
-0.7783369619443741,0.08117238127843379
-0.7697036888932607,0.08117238127843379
-0.7685538503831468,0.07967759121528581
-0.7651673948216631,0.08577321122595664
-0.7654879895626135,0.08577321122595664
-0.7651210225423548,0.08577321122595664
-0.7652844278178167,0.08610002177688039
-0.765603790518734,0.08610002177688039
-0.7660416813523763,0.08631896719370157
-0.764925733194033,0.08486823458785536
-0.763840182078464,0.08345701813761576
-0.7607413730561304,0.10793760941405114
-0.7613601849143682,0.1071950351841659
-0.7615033484933627,0.10748136234215491
-0.755411008729454,0.10991829824771837
-0.7560838493789672,0.10911088946830245
-0.7559369245432486,0.10911088946830245
-0.7560820519433541,0.10940114426851352
-0.7563300028544949,0.10930196390405719
-0.7561788408576314,0.10930196390405719
-0.7566226638993204,0.10952387542490168
-0.7496709670768786,0.10048666955572735
-0.7482058990275875,0.1022447512148767
-0.748680073567003,0.10248183848458443
-0.7479093116672402,0.10147984801489286
-0.7483893267163835,0.10171985553946453
-0.7462881394669638,0.1055019925884198
-0.7449657012324506,0.10708891846983558
-0.7442992208027605,0.11235411386438773
-0.739663351975335,0.11235411386438773
-0.7354852802207444,0.11235411386438773
-0.7355624621877267,0.11245445042146465
-0.7354089818607296,0.11366694500474211
-0.7355464774010712,0.11366694500474211
-0.7317772956593741,0.11366694500474211
-0.7289811695683804,0.1122688819592453
-0.7278361011491625,0.11433000511383745
-0.7280434739127053,0.11424705600842036
-0.7281646983268174,0.11448950483664459
-0.7284043746372676,0.11448950483664459
-0.7285241674690124,0.1147290905001342
-0.7239944510750046,0.10884045918792412
-0.7210036124564351,0.11003679463535193
-0.7215030075875982,0.11028649220093352
-0.721999997799522,0.11053498730689541
-0.7234306403380389,0.09923291125261116
-0.7207756492167514,0.09923291125261116
-0.7182233508490551,0.10025383059968969
-0.7178936109662821,0.10285877567359648
-0.7157771391408267,0.10285877567359648
-0.7158492571150683,0.10295252904011044
-0.7168203306623145,0.09528104801686497
-0.7175585710714649,0.08944894878457665
-0.715427790080753,0.09030126118086144
-0.7131173873033102,0.0872977375701858
-0.7112342689011599,0.0872977375701858
-0.7117760613376117,0.08756863378841173
-0.7131424437462331,0.07677421276030272
-0.7115262031446316,0.08954251351295568
-0.712326474726755,0.08954251351295568
-0.7133942476936461,0.08826118595268631
-0.7114546389701035,0.08573969461208097
-0.7119931491490562,0.0850934823973377
-0.7121750902232713,0.0850934823973377
-0.7109654957237307,0.0850934823973377
-0.711146163076785,0.0850934823973377
-0.7119184186652677,0.0860974146623652
-0.7124510892255024,0.08636374994248253
-0.7126286680955363,0.08636374994248253
-0.7126372642225249,0.08636374994248253
-0.7128007748488004,0.08629834569197231
